date,run_id,logic_version_sha,production_commit_sha,articles_ingested,articles_shipped,total_excluded,tag_artifacts_blocked,roundups_blocked,category_stubs_blocked,office_items_blocked,out_of_region_rejected,dc_policy_rejected,listing_events_rerouted,people_items_rescued,near_duplicates_suppressed,cross_day_pool_repeats_suppressed,false_leak_penalties_prevented,penalty_total,score,grade,coverage_score,freshness_score,supply_condition,relevant_count,transactions_count,availabilities_count,people_count,operational_score,operational_grade,editorial_quality_score,editorial_grade,coverage_supply_score,relevant_supply_status,transactions_supply_status,availabilities_supply_status,people_supply_status,notes
2026-07-28,2026-07-28-1219,ee667dfbfbe9bbadfe6ca7cf1ce83dd2ee79c9b6,ee667dfbfbe9bbadfe6ca7cf1ce83dd2ee79c9b6,238,7,2,0,0,0,2,,0,0,,,,,6,82,B,24,19.2,Rich,4,2,1,0,82,B,88,B,80,FILLED,FILLED,FILLED,NO_FRESH_SUPPLY,pre-filter era; duplicate_in_send penalty shipped
2026-07-29,2026-07-29-1227,6b4dfffb05f58ef6054ba6940477b68bece22d15,6b4dfffb05f58ef6054ba6940477b68bece22d15,250,7,2,0,0,0,2,,0,0,,,,,3,76,C,24,17.5,Rich,4,1,0,2,76,C,82,B,80,FILLED,FILLED,NO_FRESH_SUPPLY,FILLED,near-title dedup live (listing-event not yet)
2026-07-30,2026-07-30-1210,3d3b88009db4a4c4b0b1536a744e58907c8c6ad8,3d3b88009db4a4c4b0b1536a744e58907c8c6ad8,261,6,2,0,0,0,2,,0,1,,,,,15,65,D,21,16.3,Rich,4,2,0,0,65,D,62,D,60,FILLED,FILLED,QUALITY_REJECTED,QUALITY_REJECTED,Denver false leak shipped (pre buyer-HQ fix)
2026-08-03,2026-08-03-1135,3d3b88009db4a4c4b0b1536a744e58907c8c6ad8,3d3b88009db4a4c4b0b1536a744e58907c8c6ad8,258,14,0,0,0,0,0,,0,1,,,,,9,78,C,30,13.7,Rich,9,3,1,1,78,C,78,C,100,FILLED,FILLED,FILLED,FILLED,tag/roundup/buyer-HQ committed later same day; CoStar dup shipped
2026-08-04,2026-08-04-1223,94033d5ef60d956e103b33ce441f5adef33f5a2b,94033d5ef60d956e103b33ce441f5adef33f5a2b,262,7,4,1,3,0,0,,0,1,,,,,0,76,C,18,16.3,Rich,4,3,0,0,76,C,88,B,60,FILLED,FILLED,NO_FRESH_SUPPLY,NO_FRESH_SUPPLY,filters live: 1 tag + 3 roundups blocked; penalty-free
2026-08-05,2026-08-05-1222,94033d5ef60d956e103b33ce441f5adef33f5a2b,94033d5ef60d956e103b33ce441f5adef33f5a2b,269,5,5,1,3,0,1,,0,1,,,,,0,71,C,14,11.9,Rich,4,0,0,1,71,C,74,C,47,FILLED,QUALITY_REJECTED,NO_FRESH_SUPPLY,FILLED,filters live: 1 tag + 3 roundups + 1 listing reroute; penalty-free
